,pval,ptot,ols,log2fc_overall,log2fc,log10p,log10t
PS(41:3),0.08930578062112775,0.849523085111533,0.08930578062112782,-0.03677804396975759,-0.4203130893396416,1.0491204290106033,0.07082481502880143
PS(41:2),0.10951612491693681,0.678108642997671,0.10951612491693705,-0.4206146214736348,-0.32494589304005217,0.9605219315373698,0.16870072018238536
PS(41:1),0.45068335068099086,0.007567617128947003,0.45068335068099163,-0.7538630646656475,-0.15134280498731378,0.3461284855077473,2.121040848460363
PS(40:4) [M+OOH]-,0.3069115834990031,0.9816176848790648,0.3069115834990028,0.175578582061946,0.6700298769366109,0.5129867200570557,0.008057625936915185
PS(40:3) [M+OOH]-,0.16214372030366583,0.3528456229019977,0.16214372030366564,-0.6936093097827052,0.4610920910932048,0.7900998665425171,0.45241526567862117
PS(43:7),0.3833566426935884,0.4014730693709,0.38335664269358966,-1.327219962840244,-0.2512237922216958,0.41639700701273946,0.39634358168263223
PS(43:6),0.627940289380408,0.9061975199166066,0.627940289380407,-0.03835435036896939,0.03989653392936354,0.202081651207856,0.04277713073331314
PS(43:5),0.6606098220286638,0.3241149117854153,0.6606098220286623,0.2450962666646772,0.01991410145850736,0.18005497345244822,0.4893009876128271
PS(43:4),0.086583119593803,0.7610044417680711,0.08658311959380323,-0.0719362139742925,-0.38718323113597997,1.0625667705906956,0.11861280836775363
PS(43:3),0.03493817523044549,0.9687301432563211,0.03493817523044552,-0.1624539778484282,-0.6398612070459699,1.4566997813234122,0.013797186434113774
PE(34:2),0.39827820718234186,0.008523663376809975,0.39827820718234247,1.1095451843171507,-0.21185092784301052,0.3998134564814242,2.0693737101169942
PE(34:1),0.2709806703381182,0.015583895783094255,0.27098067033811807,1.2469788530026213,-0.32391848601620277,0.5670616872248341,1.807323964789024
PE(36:4),0.18490093855969778,0.0003306703571671196,0.18490093855969805,1.177552628776902,-0.35571671826281026,0.7330608843504908,3.4806047355240377
PE(36:3),0.4330350708828159,0.15925259053013635,0.4330350708828159,0.6337909125358228,0.19326304311273823,0.3634769293415681,0.7979134943534103
PE(36:2),0.8391469962811996,0.13190195152257708,0.8391469962812007,0.6029019187672411,0.016386877286405088,0.07616195564096534,0.8797487789099141
PE(36:1),0.8435165120376823,0.1833736235183236,0.8435165120376821,0.6285046924749551,0.07514234193765112,0.07390641157318192,0.7366631331385186
PE(38:6),0.4523804219981693,0.0009621418714900194,0.4523804219981702,1.603039346504211,-0.05115809066452304,0.34449619862312114,3.0167608848619567
PE(38:5),0.2785009762451604,0.007282930111953987,0.278500976245161,0.9323798567324042,-0.2299777471456501,0.5551732781306722,2.1376938575781153
PE(38:4),0.3092492629987088,0.01140447433183018,0.3092492629987089,0.9339144885269279,-0.19302506871108438,0.5096913267060376,1.9429247279276043
PE(38:3),0.25521798751428976,0.15965522752963782,0.25521798751428987,0.5318165077826538,-0.2678742060563346,0.59308872022162,0.7968168569547417
PE(40:6),0.5070868623484375,0.0024451333003106097,0.5070868623484379,1.5568876036784256,-0.029178125521856835,0.29491764104646495,2.611697459644132
PE(40:4),0.30274844176783267,0.5156316925874787,0.30274844176783283,0.17015789543977067,-0.4253431091056481,0.5189180834726834,0.2876603971897352
PE(O-34:3),0.32890263087144256,0.010165277046786667,0.3289026308714438,-0.7423103881145843,-0.2254445219282779,0.48293265260922613,1.9928807805034585
PE(O-34:2),0.06805368724657739,0.003143729014621354,0.06805368724657757,-0.6103853068958833,-0.3278626991589211,1.1671483391239905,2.502554896642404
PE(O-34:1),0.0827218646819572,0.01297606249397623,0.08272186468195782,-0.7906749431077924,-0.18832456478630766,1.0823796844537459,1.8868570715235116
